Time,tmpc_max,dwpc_max,mslp_max,wdir_max,wspd_max,skct_max,pr1h_max,tmpc_min,dwpc_min,mslp_min,wdir_min,wspd_min,skct_min,pr1h_min,tmpc_mean,dwpc_mean,mslp_mean,wdir_mean,wspd_mean,skct_mean,pr1h_mean,tmpc_total,dwpc_total,mslp_total,wdir_total,wspd_total,skct_total,pr1h_total
2010-02-13,-3.3,-7.8,1020.4,320.0,3.1,8.0,0.0,-14.4,-16.1,1016.7,0.0,0.0,0.0,0.0,-8.421052631578949,-11.136842105263161,1018.6166666666668,122.77777777777777,0.911111111111111,5.421052631578948,0.0,-160.00000000000003,-211.60000000000008,18335.100000000002,2210.0,16.4,103.0,0.0
2010-02-14,-3.3,-7.8,1017.2,320.0,5.1,9.0,0.0,-15.6,-18.3,1016.0,230.0,1.5,0.0,0.0,-9.768421052631581,-12.431578947368424,1016.5,274.7368421052632,2.88421052631579,3.789473684210526,0.0,-185.60000000000005,-236.20000000000005,19313.5,5220.0,54.80000000000001,72.0,0.0
2010-02-15,-1.7,-5.6,1016.1,360.0,3.6,9.0,0.0,-14.4,-16.1,1011.8,0.0,0.0,0.0,0.0,-7.578947368421052,-9.884210526315785,1014.1222222222223,183.1578947368421,1.6000000000000003,6.578947368421052,0.0,-144.0,-187.79999999999993,18254.2,3480.0,30.400000000000006,125.0,0.0
2010-02-16,-4.0,-7.0,1013.0,350.0,7.7,8.0,0.5,-10.6,-13.3,1008.6,260.0,3.1,2.0,0.0,-7.063157894736841,-9.815789473684214,1010.3166666666667,297.89473684210526,6.047368421052633,7.631578947368421,0.042105263157894736,-134.2,-186.50000000000006,18185.7,5660.0,114.90000000000003,145.0,0.8
2010-02-17,-1.7,-5.6,1015.0,300.0,9.3,8.0,0.0,-8.3,-10.6,1012.8,260.0,4.1,4.0,0.0,-4.915789473684211,-7.652631578947367,1013.7166666666667,275.7894736842105,7.247368421052631,7.2631578947368425,0.0,-93.4,-145.39999999999998,18246.9,5240.0,137.7,138.0,0.0
2010-02-18,-1.7,-6.1,1017.3,290.0,6.2,8.0,0.0,-6.7,-9.4,1014.6,260.0,3.6,8.0,0.0,-4.621052631578949,-8.231578947368419,1015.8842105263155,280.0,4.894736842105264,8.0,0.0,-87.80000000000003,-156.39999999999998,19301.799999999996,5320.0,93.00000000000001,152.0,0.0
2010-02-19,-1.7,-6.0,1021.6,270.0,5.7,0.0,0.0,-12.8,-15.0,1018.8,0.0,0.0,0.0,0.0,-7.278947368421053,-10.405263157894737,1020.1157894736842,243.1578947368421,3.8421052631578947,0.0,0.0,-138.3,-197.7,19382.2,4620.0,73.0,0.0,0.0
2010-02-20,0.6,-4.4,1024.2,300.0,3.6,8.0,0.0,-13.3,-15.6,1021.7,0.0,0.0,0.0,0.0,-6.957894736842104,-10.436842105263155,1022.8684210526318,195.26315789473685,1.9578947368421058,0.8421052631578947,0.0,-132.2,-198.29999999999995,19434.500000000004,3710.0,37.20000000000001,16.0,0.0
2010-02-21,2.8,0.0,1023.4,200.0,5.7,8.0,0.5,-1.7,-3.3,1019.2,0.0,0.0,2.0,0.0,0.5888888888888888,-1.333333333333334,1020.7611111111112,115.0,3.3888888888888897,7.222222222222222,0.10555555555555557,10.599999999999998,-24.00000000000001,18373.7,2070.0,61.000000000000014,130.0,1.9000000000000001
2010-02-22,1.7,0.6,1019.4,80.0,6.7,8.0,1.5,0.6,-0.6,1011.3,0.0,0.0,8.0,0.0,1.2999999999999998,-0.12631578947368421,1016.1777777777778,46.8421052631579,3.931578947368422,8.0,0.3263157894736842,24.699999999999996,-2.4,18291.2,890.0,74.70000000000002,152.0,6.2
