Date,TMAX(C),TMIN(C),WMAX(M/s),PREC(mm}
2011-01-12,-6.111111111111111,-11.666666666666666,10.28192,0.0
2011-01-13,-7.222222222222222,-17.77777777777778,5.81152,0.0
2011-01-14,-1.6666666666666667,-13.333333333333334,4.4704,0.0
2011-01-15,-0.5555555555555556,-8.88888888888889,7.59968,0.0
2011-01-16,-4.444444444444445,-15.0,4.4704,0.0
2011-01-17,2.7777777777777777,-5.555555555555555,8.04672,1.1
2011-01-18,2.2222222222222223,-2.2222222222222223,7.15264,0.8
2011-01-19,-2.7777777777777777,-5.0,5.81152,0.3
2011-01-20,-5.555555555555555,-15.555555555555555,7.15264,1.7000000000000002
2011-01-21,-15.555555555555555,-23.88888888888889,6.7056,0.0
2011-01-22,-6.111111111111111,-16.11111111111111,6.25856,0.0
2011-01-23,-6.111111111111111,-13.333333333333334,7.59968,0.0
2011-01-24,0.0,-10.0,6.25856,0.3
2011-01-25,-2.7777777777777777,-10.0,3.12928,0.0
2011-01-26,-2.2222222222222223,-6.111111111111111,5.81152,0.0
2011-01-27,-1.1111111111111112,-6.666666666666667,8.04672,0.0
2011-01-28,-2.7777777777777777,-5.555555555555555,6.7056,0.0
2011-01-29,1.1111111111111112,-5.555555555555555,6.7056,0.0
2011-01-30,1.6666666666666667,-3.888888888888889,8.04672,0.0
2011-01-31,-2.7777777777777777,-7.222222222222222,10.72896,8.0
2011-02-01,-5.0,-8.333333333333334,16.09344,4.1
2011-02-02,-6.111111111111111,-13.88888888888889,13.85824,0.0
2011-02-03,-10.555555555555555,-17.77777777777778,4.4704,0.0
2011-02-04,-4.444444444444445,-13.333333333333334,6.7056,0.0
2011-02-05,-1.6666666666666667,-7.777777777777778,7.59968,4.699999999999999
2011-02-06,1.1111111111111112,-2.2222222222222223,9.38784,0.0
2011-02-07,-1.1111111111111112,-11.11111111111111,8.04672,0.0
2011-02-08,-9.444444444444445,-17.77777777777778,8.9408,0.0
2011-02-09,-11.666666666666666,-20.0,6.25856,0.0
